Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
AA005	1" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1070.012B (AMPAM) (Responsible: Unassigned)	7/6/2016				Lost	7/5/2016	BITS	SELF FEED BITS	
AA048	1" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	1/18/2018					1/18/2018	BITS	SELF FEED BITS	
AL 491	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	7/30/2018					7/30/2018	LADDER	PLATFORM	
AL 808	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	8/23/2018					8/23/2018	LADDER	A-FRAME	
AL 809	6'  LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	8/23/2018					8/23/2018	LADDER	A-FRAME	
AL 832	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/14/2018					9/14/2018	LADDER	PLATFORM	
AL 833	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/14/2018					9/14/2018	LADDER	PLATFORM	
AL007	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	1/9/2018					7/23/2016	LADDER	PLATFORM	
AL008	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	2/14/2018					7/1/2016	LADDER	PLATFORM	
AL018	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1066.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL019	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	8/24/2017					3/15/2017	LADDER	A-FRAME	
AL027	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1089.0 (AMPAM) (Responsible: Unassigned)	2/2/2017				Lost	6/21/2016	LADDER	PLATFORM	
AL030	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1087.0 (AMPAM) (Responsible: Unassigned)	7/16/2016				Lost	7/16/2016	LADDER	PLATFORM	
AL046	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/5/2018					6/28/2016	LADDER	PLATFORM	
AL051	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/13/2016	LADDER	PLATFORM	
AL052	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			FAB YARD (AMPAM) (Responsible: Unassigned)	8/27/2018					5/22/2018	LADDER	A-FRAME	
AL090	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	11/28/2017					7/23/2016	LADDER	A-FRAME	
AL095	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1219.0 (AMPAM) (Responsible: Unassigned)	3/13/2018				Lost	3/13/2018	LADDER	PLATFORM	
AL099	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									8/29/2017	LADDER	PLATFORM	
AL101	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1089.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL102	6' PLATFORM LADDER		LOUISVILLE	FS1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/5/2018					7/5/2016	LADDER	PLATFORM	
AL103	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1069.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL116	6' PLATFORM LADDER		LOUISVILLE	FS-1506		AMPAM	SOCAL (AMPAM)			1192.0 (AMPAM) (Responsible: Unassigned)	12/8/2017				Lost	7/5/2016	LADDER	PLATFORM	
AL123	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1085.0 (AMPAM) (Responsible: Unassigned)	4/30/2018					4/3/2017	LADDER	A-FRAME	
AL133	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			JULIO GONZALEZ (AMPAM) (Responsible: Unassigned)	5/15/2017					7/1/2016	LADDER	PLATFORM	
AL141	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1178.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					7/7/2016	LADDER	PLATFORM	
AL142	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1109.0 (AMPAM) (Responsible: Unassigned)	8/29/2016					7/7/2016	LADDER	PLATFORM	
AL144	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	4/18/2018					7/6/2017	LADDER	PLATFORM	
AL145	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/5/2017					7/16/2016	LADDER	PLATFORM	
AL146	6' PLATFORM LADDER                 In Service: 09/12/2013		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1192.0 (AMPAM) (Responsible: Unassigned)	12/8/2017				Lost	7/1/2016	LADDER	PLATFORM	
AL147	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1204.0 (AMPAM) (Responsible: Unassigned)	11/14/2017					6/28/2016	LADDER	PLATFORM	
AL155	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/5/2018					7/2/2016	LADDER	PLATFORM	
AL157	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	6/5/2017				Lost	7/16/2016	LADDER	PLATFORM	
AL159	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1004.0 (AMPAM) (Responsible: Unassigned)	7/11/2016				Lost	7/11/2016	LADDER	PLATFORM	
AL160	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	5/11/2018					7/2/2016	LADDER	PLATFORM	
AL163	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1082.0 (AMPAM) (Responsible: Unassigned)	8/22/2016					6/27/2016	LADDER	PLATFORM	
AL167	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1069.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL170	6' PLATFORM LADDER		LOUISVILLE	FS-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					7/5/2016	LADDER	PLATFORM	
AL172	6' PLATFORM LADDER		LOUISVILLE	FS-1506		AMPAM	SOCAL (AMPAM)			1057.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL174	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/16/2016	LADDER	PLATFORM	
AL175	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	4/18/2018					7/16/2016	LADDER	PLATFORM	
AL183	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	11/30/2018					7/14/2016	LADDER	PLATFORM	
AL187	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	12/19/2017					6/21/2016	LADDER	A-FRAME	
AL190	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	4/18/2018					6/21/2016	LADDER	PLATFORM	
AL192	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	7/2/2018					6/28/2016	LADDER	PLATFORM	
AL200	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	12/19/2017					7/1/2016	LADDER	A-FRAME	
AL217	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1200.0 (AMPAM) (Responsible: Unassigned)	11/11/2017					7/16/2016	LADDER	PLATFORM	
AL222	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	6/27/2017					7/23/2016	LADDER	PLATFORM	
AL225	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	5/7/2018					7/2/2016	LADDER	PLATFORM	
AL238	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	2/13/2019					7/23/2016	LADDER	PLATFORM	
AL244	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	2/13/2019					7/7/2016	LADDER	PLATFORM	
AL260	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1019.0 (AMPAM) (Responsible: Unassigned)	7/23/2016				Lost	7/23/2016	LADDER	PLATFORM	
AL264	6' PLATFORM LADDER		LOUISVILLE	FP-1506	100AT04-D634008	AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	2/6/2019					7/5/2016	LADDER	PLATFORM	
AL273	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					7/16/2016	LADDER	A-FRAME	
AL275	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1088.0 (AMPAM) (Responsible: Unassigned)	9/14/2017					7/16/2016	LADDER	PLATFORM	
AL290	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1213.0 (AMPAM) (Responsible: Unassigned)	10/15/2018					6/12/2018	LADDER	A-FRAME	
AL302	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	4/20/2018					4/19/2018	LADDER	A-FRAME	
AL303	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	3/22/2018					6/28/2016	LADDER	PLATFORM	
AL306	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									5/5/2017	LADDER	PLATFORM	
AL309	6' PLATFORM LADDER                 In Service: 04/09/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1004.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/1/2016	LADDER	PLATFORM	
AL314	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1066.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL315	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	12/19/2017					7/9/2016	LADDER	PLATFORM	
AL317	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			JOSE NAVARRO (AMPAM) (Responsible: Unassigned)	2/17/2017					7/5/2016	LADDER	PLATFORM	
AL320	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	8/24/2017					7/19/2016	LADDER	PLATFORM	
AL322	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									5/4/2018	LADDER	PLATFORM	
AL336	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	5/22/2018					12/8/2017	LADDER	PLATFORM	
AL339	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1092.0 (AMPAM) (Responsible: Unassigned)	9/27/2016				Lost	6/28/2016	LADDER	PLATFORM	
AL345	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									11/6/2017	LADDER	PLATFORM	
AL353	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			966.0 (AMPAM) (Responsible: Unassigned)	6/27/2016				Lost	6/27/2016	LADDER	PLATFORM	
AL354	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1074.0 (AMPAM) (Responsible: Unassigned)	8/2/2018				Lost	6/24/2016	LADDER	A-FRAME	
AL356	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					7/5/2016	LADDER	PLATFORM	
AL360	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1192 finish (AMPAM) (Responsible: Unassigned)	11/5/2018					7/9/2016	LADDER	PLATFORM	
AL375	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					7/2/2016	LADDER	PLATFORM	
AL378	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/20/2018					6/30/2016	LADDER	PLATFORM	
AL379	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/19/2018					7/18/2016	LADDER	PLATFORM	
AL380	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	7/25/2018					7/14/2016	LADDER	PLATFORM	
AL381	6' PLATFORM LADDER                 In Service: 08/05/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	3/21/2017				Lost	7/1/2016	LADDER	PLATFORM	
AL385	6' PLATFORM LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					6/28/2016	LADDER	PLATFORM	
AL387	6' PLATFORM LADDER                   In Service: 08/06/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	5/22/2018					6/29/2016	LADDER	PLATFORM	
AL390	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	7/2/2018					6/24/2016	LADDER	PLATFORM	
AL391	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					6/24/2016	LADDER	PLATFORM	
AL393	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	5/24/2018					6/27/2016	LADDER	PLATFORM	
AL394	6' PLATFORM LADDER                     In Service: 08/18/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					6/29/2016	LADDER	PLATFORM	
AL395	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	5/24/2018					6/24/2016	LADDER	PLATFORM	
AL397	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1070.012B (AMPAM) (Responsible: Unassigned)	7/25/2016				Lost	7/25/2016	LADDER	PLATFORM	
AL398	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					7/11/2016	LADDER	PLATFORM	
AL399	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/18/2016	LADDER	PLATFORM	
AL400	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	1/4/2018					9/22/2016	LADDER	PLATFORM	
AL401	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	8/30/2018					7/16/2016	LADDER	PLATFORM	
AL403	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/11/2016	LADDER	PLATFORM	
AL405	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					7/5/2016	LADDER	PLATFORM	
AL407	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	5/22/2018					7/5/2016	LADDER	PLATFORM	
AL408	6' PLATFORM LADDER                 In Service: 08/27/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/1/2016	LADDER	PLATFORM	
AL409	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	5/22/2018					7/16/2016	LADDER	PLATFORM	
AL410	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			JOHN PARKS (AMPAM) (Responsible: Unassigned)	5/24/2018					6/24/2016	LADDER	PLATFORM	
AL411	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	10/14/2016					7/7/2016	LADDER	PLATFORM	
AL412	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/7/2018					6/29/2016	LADDER	PLATFORM	
AL415	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1153.0 (AMPAM) (Responsible: Unassigned)	12/5/2018					6/29/2016	LADDER	PLATFORM	
AL416	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/21/2018					6/27/2016	LADDER	PLATFORM	
AL417	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	4/7/2018					7/7/2016	LADDER	PLATFORM	
AL420	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/7/2018					6/28/2016	LADDER	PLATFORM	
AL423	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1150.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					6/27/2016	LADDER	PLATFORM	
AL424	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	7/30/2018					7/9/2016	LADDER	PLATFORM	
AL425	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	7/12/2018					7/7/2016	LADDER	PLATFORM	
AL427	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/16/2019					7/7/2016	LADDER	PLATFORM	
AL428	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/13/2016	LADDER	PLATFORM	
AL431	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	11/26/2018					8/12/2016	LADDER	PLATFORM	
AL433	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	2/6/2018					7/7/2016	LADDER	PLATFORM	
AL436	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	6/22/2018					7/5/2016	LADDER	PLATFORM	
AL438	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	5/31/2018					6/24/2016	LADDER	PLATFORM	
AL439	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	7/6/2018					6/30/2016	LADDER	PLATFORM	
AL440	6' PLATFORM LADDER                 In Service: 10/16/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					7/1/2016	LADDER	PLATFORM	
AL442	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	6/18/2018					6/30/2016	LADDER	PLATFORM	
AL445	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	4/7/2018					6/27/2016	LADDER	PLATFORM	
AL446	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	8/3/2018					7/7/2016	LADDER	PLATFORM	
AL447	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	9/7/2017					7/7/2016	LADDER	PLATFORM	
AL449	6' PLATFORM LADDER                 In Service: 11/04/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	3/4/2019					7/1/2016	LADDER	PLATFORM	
AL450	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	2/6/2018					6/24/2016	LADDER	PLATFORM	
AL452	6' PLATFORM LADDER                 In Service: 11/04/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	3/4/2019					7/1/2016	LADDER	PLATFORM	
AL453	6' PLATFORM LADDER                 In Service: 11/04/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					7/1/2016	LADDER	PLATFORM	
AL454	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	10/14/2017					7/9/2016	LADDER	PLATFORM	
AL455	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									6/24/2016	LADDER	PLATFORM	
AL456	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					7/7/2016	LADDER	PLATFORM	
AL457	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					6/20/2016	LADDER	PLATFORM	
AL458	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1178.0 (AMPAM) (Responsible: Unassigned)	8/31/2017					7/5/2016	LADDER	PLATFORM	
AL460	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1163.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					7/11/2016	LADDER	PLATFORM	
AL462	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/20/2017					7/7/2016	LADDER	PLATFORM	
AL464	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					7/7/2016	LADDER	PLATFORM	
AL466	6' PLATFORM LADDER                 In Service: 11/05/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	6/1/2018					7/1/2016	LADDER	PLATFORM	
AL468	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	6/6/2018					7/11/2016	LADDER	PLATFORM	
AL469	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	7/10/2018					7/18/2016	LADDER	PLATFORM	
AL470	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	11/26/2018					4/18/2017	LADDER	PLATFORM	
AL471	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	3/4/2019					7/23/2016	LADDER	PLATFORM	
AL472	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					6/20/2016	LADDER	PLATFORM	
AL473	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/20/2018					7/16/2016	LADDER	PLATFORM	
AL474	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	7/30/2018					6/24/2016	LADDER	PLATFORM	
AL476	6' PLATFORM LADDER                   In Service: 11/07/2014		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					6/29/2016	LADDER	PLATFORM	
AL477	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	9/7/2017					7/11/2016	LADDER	PLATFORM	
