Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
IO642	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
IO643	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
IO644	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
IO645	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
IO646	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
IO647	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
IO648	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					11/16/2018	HAND HELD TOOLS	REAMER	
IO649	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1200.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
IO650	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	11/28/2018					11/28/2018	HAND HELD TOOLS	REAMER	
IO651	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
IO652	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
IO653	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					12/13/2018	HAND HELD TOOLS	REAMER	
IO656	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	12/17/2018					12/17/2018	HAND HELD TOOLS	REAMER	
IO657	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	12/17/2018					12/17/2018	HAND HELD TOOLS	REAMER	
IO659	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1219.0 finish (AMPAM) (Responsible: Unassigned)	3/12/2019					1/22/2019	HAND HELD TOOLS	REAMER	
IO660	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1219.0 finish (AMPAM) (Responsible: Unassigned)	3/12/2019					1/22/2019	HAND HELD TOOLS	REAMER	
IO661	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1219.0 finish (AMPAM) (Responsible: Unassigned)	3/12/2019					1/22/2019	HAND HELD TOOLS	REAMER	
